Metric,Train (Latest),Validation (Latest),Best Validation
Loss,0.09527616357329742,0.0766606614821487,0.07232019272115496
Dice Score,0.8871106408780537,0.8873963435490926,0.8944519109196133
IoU Score,0.8148498623155846,0.8032489882575141,0.8135429289605882
Pixel Accuracy,0.9917840924720431,0.9968255003293355,0.9972115927272373
Sensitivity,0.8972201626973457,0.9035487545861138,0.9353998316658868
Specificity,0.9983418157627416,0.998452713754442,0.9991011473867628
Precision,0.8995895121289894,0.8853494763374329,0.944449868467119
